"혈","부위","판정","판정 근거","기대 층 (해부학)","문제","근거 문헌","제안 조치","방향 편차(°)","현재 경로 (첫 뼈·장기까지, mm)","평균 법선 경로 (편차 15° 이상만)","10 mm 이상 빈 구간","5 mm 이내 근접인데 표시 안 되는 위험구조","교차하는 위험구조","원문 자침법","검수 판정","검수 의견"
"GB24","가슴","치명","수동","제7늑간 중쇄골선: 늑간근 → 흉막(갈비가로막오목) → 가로막 → 간","흉막 없이 가로막 → 간(33.5 mm). 기흉 위험이 가려짐","해부: 흉막 하단은 중쇄골선 8번 갈비뼈","흉막 오목 정합","22","external oblique 8.8 → internal intercostal muscle 17.7 → transversus abdominis 23.7 → Diaphragm 28.7 → Hepatovenous segment V 33.5","external oblique 9.8 → internal intercostal muscle 18.6 → Diaphragm 33.8 → Hepatovenous segment V 39.1","","","","直刺 0.3～0.5寸 (不宜深刺) (모델 상한 8.5 mm)","",""
"LR14","가슴","치명","수동","제6늑간 중쇄골선: 늑간근 → 흉막·폐 → 가로막 → 간","흉막·폐 없이 가로막 → 간","해부","흉막 오목 정합","3","Abdominal part pectoralis major 3.2 → external oblique 6.2 → internal intercostal muscle 14.3 → rectus abdominis 14.4 → Diaphragm 25.6 → Hepatovenous segment VIII 31.1","","","","","直刺 0.2～0.3寸 (不宜深刺) (모델 상한 5.1 mm)","",""
"LU2","가슴","치명","수동","어깨세모근–큰가슴근 사이 → 빗장가슴근막 → 겨드랑동정맥·상완신경얼기 다발","큰가슴근 빗장부 → 작은가슴근 → 셋째갈비뼈. 가장 중요한 위험(겨드랑 다발) 근접 없음","해부","위치(검수 메모: 쇄골에 더 붙게) 수정 선행","11","Clavicular part pectoralis major 12.6 → cephalic vein 13.9 → Lateral pectoral nerve 16.5 → pectoralis minor 36.2 → third rib 45.8","","0→13mm(Clavicular part pectoralis major 앞); 26→36mm(pectoralis minor 앞)","lateral thoracic artery 2.6mm옆@46.6","cephalic vein@13.9; Lateral pectoral nerve@16.5","直刺 0.3～0.5寸 (不宜深刺, 刺太深時 氣逆) (모델 상한 8.5 mm)","",""
"BL36","넓적다리","치명","수동","큰볼기근 아래모서리 → 넙다리두갈래근 긴갈래·반힘줄근 기시 → (깊이) 궁둥신경","궁둥신경 근접 없음, 뒤넙다리근 기시 누락, 큰볼기근 → 큰모음근","해부","검수 메모(큰볼기근 밑 모서리) 반영","3","gluteus maximus 35.9 → adductor magnus 66.8","","0→36mm(gluteus maximus 앞); 43→67mm(adductor magnus 앞)","","","直刺 0.5～1.5寸 (모델 상한 33.4 mm)","",""
"LR9","넓적다리","치명","수동","두덩정강근·넙다리빗근 사이 → 큰모음근 (모음근틈새 부근 넙다리혈관)","넙다리동맥 관통 @28.9, 넙다리정맥 @39.7 — 실제 위험이지만 위치가 넙다리빗근 위(0 mm)","해부","위치 확인, 위험 표시 유지","9","sartorius 0 → adductor magnus 13.2 → femoral artery 28.9 → femoral vein 39.7 → adductor magnus 40.3 → popliteal vein 40.9 → femur 49.6","","1→13mm(adductor magnus 앞)","Saphenous nerve 2.4mm옆@16","femoral artery@28.9; femoral vein@39.7; popliteal vein@40.9","直刺 0.5～0.7寸 (모델 상한 15.6 mm)","",""
"SP11","넓적다리","치명","수동","넙다리빗근·긴모음근 사이 (깊이 모음근관 넙다리동정맥)","넙다리동맥 근접 없음, 넙다리빗근 누락","원문: 動脈을 피하여 / 검수 메모: 위쪽 1/3","위치 수정 선행","42","adductor longus 12.7 → adductor brevis 40.4 → adductor magnus 51.4 → adductor brevis 69.3","gracilis 9.9 → adductor magnus 21.5 → semimembranosus 65.4","0→13mm(adductor longus 앞)","","","直刺 0.3～0.5寸 (動脈을 피하여 刺鍼) (모델 상한 11.1 mm)","",""
"BL42","등·허리","치명","수동","(견갑골 벌린 임상 자세) 등세모근 → 마름근 → 엉덩갈비근 → 늑간 → 흉막","34 mm에서 견갑골 충돌 → 기흉 최다 부위(바깥줄)의 흉막 위험이 뼈로 가려짐","해부·자세","자세 표기 또는 견갑골 벌림 가정 경로","17","Ascending part trapezius 11.9 → rhomboid minor 32.1 → scapula 34.2","Ascending part trapezius 12.5 → scapula 37.4","0→12mm(Ascending part trapezius 앞)","dorsal scapular artery 1.8mm옆@32.7","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL43","등·허리","치명","수동","BL42와 같음","35 mm에서 견갑골 충돌","같음","같음","16","Ascending part trapezius 13.1 → infraspinatus muscle 31.7 → scapula 35.3","Ascending part trapezius 13.4 → rhomboid major 33.2 → longissimus thoracis 37.3 → external intercostal muscle 47 → fifth rib 47","0→13mm(Ascending part trapezius 앞)","","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL44","등·허리","치명","수동","BL42와 같음","27 mm에서 견갑골 충돌","같음","같음","9","Ascending part trapezius 11 → rhomboid major 26.3 → scapula 27.2","","0→11mm(Ascending part trapezius 앞)","dorsal scapular artery 2.9mm옆@30","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV11","등·허리","치명","수동","정중선 인대층","방향이 가쪽으로 기울어 56.9 mm에서 폐","해부","방향","22","multifidus 10.1 → splenius cervicis 13 → Ascending part trapezius 13.3 → spinalis thoracis 15.9 → semispinalis thoracis 21.3 → Lower lobe lung 56.9","Ascending part trapezius 12.6 → splenius cervicis 13.4 → spinalis thoracis 16.3 → Supraspinous ligament 16.9 → semispinalis thoracis 22.1 → Sixth thoracic vertebra 25.8","0→10mm(multifidus 앞); 25→57mm(Lower lobe lung 앞)","Sympathetic nerves 2mm옆@34; Intercostal nerves 3.5mm옆@50.8; anterior intercostal veins 2.4mm옆@58.2","Lower lobe lung@56.9","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"BL10","목·어깨윗부분","치명","수동","(등세모근 가쪽 오목) → 머리널판근 → 두반극근 → 아래머리빗근","면 법선이 안쪽으로 기울어 38 mm에서 척추관·척수로 진입. 등세모근을 통과해 WHO 위치(등세모근 가쪽)보다 안쪽임","WHO: 등세모근 가쪽 오목","위치 가쪽 이동, 방향 평균 법선 또는 앞쪽 수평","82","Descending part trapezius 13.2 → semispinalis capitis 20.5 → obliquus capitis inferior 22.5 → cervical rotator 29.2 → cervical rotator 30.7 → Axis 34.6","Descending part trapezius 35.8 → Occipital bone 44.1","0→13mm(Descending part trapezius 앞)","","","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
"CV22","목·어깨윗부분","치명","수동","복장목뿔근 사이 → 기관앞 지방 → 기관 (원문: 0.2~0.3寸 직자 후 복장뼈자루 뒤로 횡자)","45 mm까지 아무 구조 없음. 팔머리동맥 1.4 mm, 팔머리정맥 2 mm 근접 미표시","원문 방향","원문 2단계 방향, 근접 혈관 표시","직접 시드","Trachea 45.4","","0→45mm(Trachea 앞)","brachiocephalic vein 2mm옆@24; Brachiocephalic artery 1.4mm옆@30.9","Trachea@45.4","直刺 0.3～0.5寸 (深刺하여 氣管을 刺傷하지 말아야 한다) (모델 상한 8.5 mm)","",""
"GB20","목·어깨윗부분","치명","수동","(흉쇄유돌근·등세모근 사이) → 머리널판근 → 두반극근 → 뒤통수밑근 → 척추동맥/막","방향이 평균 법선과 59° 어긋나 11.6 mm에서 뒤통수뼈 충돌. 원문 방향(반대쪽 눈) 미반영","Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 위험조직 50 mm","원문 방향 벡터 적용, 척추동맥·연수 거리 표시","22","semispinalis capitis 7.9 → obliquus capitis superior 9.3 → Occipital bone 11.6","semispinalis capitis 9.2 → obliquus capitis superior 9.4 → Occipital bone 13.3","","","","直刺 0.3～1寸 (반대쪽 眼球 방향으로 刺入) (모델 상한 18.3 mm)","",""
"GB21","목·어깨윗부분","치명","수동","등세모근 → 어깨올림근/가시위근 → (폐꼭대기 흉막)","수직 경로가 흉막을 만나지 않고 77 mm에서 넷째갈비뼈. 등세모근(21 mm)~앞톱니근(47.7 mm) 27 mm 공백. 기흉 최다 혈인데 위험 표시 없음","Chu 2018 초음파 https://doi.org/10.1155/2018/2308102 흉막 38.1±6.4 / Chen 2018 초음파 https://doi.org/10.1016/j.jams.2018.06.004 폐꼭대기 17.4(남) / Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819 56 mm","폐꼭대기·흉막 정합과 경로 재검토","직접 시드","Descending part trapezius 13 → serratus anterior 47.7 → subscapularis 60.4 → external intercostal muscle 66.2 → innermost intercostal muscle 76.6 → internal intercostal muscle 76.9 → fourth rib 76.9","","0→13mm(Descending part trapezius 앞); 21→48mm(serratus anterior 앞)","dorsal scapular artery 0.5mm옆@24.4","","直刺 0.3～0.5寸 (모델 상한 10.1 mm)","",""
"GV15","목·어깨윗부분","치명","수동","항인대 → 가시사이인대 → 황색인대(뒤고리중쇠막) → 경막 → 척수","등세모근 다음 36 mm에서 바로 경막·척수. 항인대·가시사이인대·황색인대 누락","Zhou 2019 MRI https://doi.org/10.13703/j.0255-2930.2019.06.014: 안전깊이 남 47.7±5.1 mm / Chou 2015 BMJ Open MRI https://doi.org/10.1136/bmjopen-2015-007819: 49 mm → 모델이 11~13 mm 얕음","검수 메모('둘째 목뼈인데 두개골에 있다') 위치 수정 선행, 정중선 인대층 표시","36","Descending part trapezius 17.9 → Descending part trapezius 21.3 → Spinal dura 36.1","Descending part trapezius 24.6 → Descending part trapezius 25 → Axis 26.1","0→18mm(Descending part trapezius 앞); 25→36mm(Spinal dura 앞)","Medulla oblongata 4.3mm옆@36.2","Spinal dura@36.1","直刺 0.3～0.5寸 (모델 상한 9.1 mm)","",""
